nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,velocity-magnitude,     temperature
         1,-1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.318273125E+06, 0.000000000E+00, 8.422985229E+02
         2,-1.873036623E-01,-3.610000014E-01, 0.000000000E+00, 1.314166000E+06, 0.000000000E+00, 8.415303955E+02
         3,-1.763952821E-01,-3.610000014E-01, 0.000000000E+00, 1.312362375E+06, 0.000000000E+00, 8.409373779E+02
         4,-1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.312517750E+06, 0.000000000E+00, 8.405567017E+02
         5,-1.568749994E-01,-3.610000014E-01, 0.000000000E+00, 1.313576625E+06, 0.000000000E+00, 8.403579712E+02
         6,-1.487500072E-01,-3.610000014E-01, 0.000000000E+00, 1.315184625E+06, 0.000000000E+00, 8.402318115E+02
         7,-1.406250000E-01,-3.610000014E-01, 0.000000000E+00, 1.317171250E+06, 0.000000000E+00, 8.401377563E+02
         8,-1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.319310125E+06, 0.000000000E+00, 8.400766602E+02
         9,-1.265296489E-01,-3.610000014E-01, 0.000000000E+00, 1.321172250E+06, 0.000000000E+00, 8.400559082E+02
        10,-1.201926395E-01,-3.610000014E-01, 0.000000000E+00, 1.323399750E+06, 0.000000000E+00, 8.400805664E+02
        11,-1.123268455E-01,-3.610000014E-01, 0.000000000E+00, 1.326616875E+06, 0.000000000E+00, 8.401580200E+02
        12,-1.027398333E-01,-3.610000014E-01, 0.000000000E+00, 1.331141625E+06, 0.000000000E+00, 8.403418579E+02
        13,-9.254600108E-02,-3.610000014E-01, 0.000000000E+00, 1.337096125E+06, 0.000000000E+00, 8.406720581E+02
        14,-8.226311207E-02,-3.610000014E-01, 0.000000000E+00, 1.344236625E+06, 0.000000000E+00, 8.411512451E+02
        15,-7.198022306E-02,-3.610000014E-01, 0.000000000E+00, 1.352076375E+06, 0.000000000E+00, 8.417548218E+02
        16,-6.169733405E-02,-3.610000014E-01, 0.000000000E+00, 1.359804250E+06, 0.000000000E+00, 8.423992310E+02
        17,-5.141444504E-02,-3.610000014E-01, 0.000000000E+00, 1.366676375E+06, 0.000000000E+00, 8.429932251E+02
        18,-4.113155603E-02,-3.610000014E-01, 0.000000000E+00, 1.372375000E+06, 0.000000000E+00, 8.434757080E+02
        19,-3.084866703E-02,-3.610000014E-01, 0.000000000E+00, 1.376751750E+06, 0.000000000E+00, 8.438222046E+02
        20,-2.056577802E-02,-3.610000014E-01, 0.000000000E+00, 1.379755250E+06, 0.000000000E+00, 8.440384521E+02
        21,-1.028288901E-02,-3.610000014E-01, 0.000000000E+00, 1.381527000E+06, 0.000000000E+00, 8.441380005E+02
        22, 0.000000000E+00,-3.610000014E-01, 0.000000000E+00, 1.382320875E+06, 0.000000000E+00, 8.441484375E+02
        23, 9.234504774E-03,-3.610000014E-01, 0.000000000E+00, 1.382332875E+06, 0.000000000E+00, 8.441242065E+02
        24, 1.846825890E-02,-3.610000014E-01, 0.000000000E+00, 1.381745750E+06, 0.000000000E+00, 8.440617065E+02
        25, 2.770195715E-02,-3.610000014E-01, 0.000000000E+00, 1.380582000E+06, 0.000000000E+00, 8.439483032E+02
        26, 3.693565354E-02,-3.610000014E-01, 0.000000000E+00, 1.378745500E+06, 0.000000000E+00, 8.437765503E+02
        27, 4.616935179E-02,-3.610000014E-01, 0.000000000E+00, 1.376168000E+06, 0.000000000E+00, 8.435281372E+02
        28, 5.540305004E-02,-3.610000014E-01, 0.000000000E+00, 1.372682625E+06, 0.000000000E+00, 8.431815186E+02
        29, 6.463674456E-02,-3.610000014E-01, 0.000000000E+00, 1.368174750E+06, 0.000000000E+00, 8.427280273E+02
        30, 7.387044281E-02,-3.610000014E-01, 0.000000000E+00, 1.362785125E+06, 0.000000000E+00, 8.421492310E+02
        31, 8.310414106E-02,-3.610000014E-01, 0.000000000E+00, 1.356415125E+06, 0.000000000E+00, 8.414304199E+02
        32, 9.233783931E-02,-3.610000014E-01, 0.000000000E+00, 1.349177750E+06, 0.000000000E+00, 8.406196899E+02
        33, 1.015604958E-01,-3.610000014E-01, 0.000000000E+00, 1.341588250E+06, 0.000000000E+00, 8.398245239E+02
        34, 1.105588451E-01,-3.610000014E-01, 0.000000000E+00, 1.334568375E+06, 0.000000000E+00, 8.391461792E+02
        35, 1.186886430E-01,-3.610000014E-01, 0.000000000E+00, 1.328885500E+06, 0.000000000E+00, 8.386528931E+02
        36, 1.258890331E-01,-3.610000014E-01, 0.000000000E+00, 1.324667375E+06, 0.000000000E+00, 8.383210449E+02
        37, 1.324999928E-01,-3.610000014E-01, 0.000000000E+00, 1.321537625E+06, 0.000000000E+00, 8.381324463E+02
        38, 1.406250000E-01,-3.610000014E-01, 0.000000000E+00, 1.318864000E+06, 0.000000000E+00, 8.380338135E+02
        39, 1.487500072E-01,-3.610000014E-01, 0.000000000E+00, 1.316851625E+06, 0.000000000E+00, 8.380273438E+02
        40, 1.568749994E-01,-3.610000014E-01, 0.000000000E+00, 1.315612375E+06, 0.000000000E+00, 8.381238403E+02
        41, 1.650000066E-01,-3.610000014E-01, 0.000000000E+00, 1.315287375E+06, 0.000000000E+00, 8.383408203E+02
        42, 1.758333296E-01,-3.610000014E-01, 0.000000000E+00, 1.316262375E+06, 0.000000000E+00, 8.387443848E+02
        43, 1.866666675E-01,-3.610000014E-01, 0.000000000E+00, 1.319087000E+06, 0.000000000E+00, 8.395026245E+02
        44, 1.975000054E-01,-3.610000014E-01, 0.000000000E+00, 1.326335875E+06, 0.000000000E+00, 8.403237305E+02
        45, 2.067412138E-01,-3.603130281E-01, 0.000000000E+00, 1.331581250E+06, 0.000000000E+00, 8.409508667E+02
        46,-2.071879953E-01,-3.602445722E-01, 0.000000000E+00, 1.322931500E+06, 0.000000000E+00, 8.429649048E+02
        47, 2.158288658E-01,-3.582520187E-01, 0.000000000E+00, 1.334082375E+06, 0.000000000E+00, 8.413591919E+02
        48,-2.167373002E-01,-3.579657674E-01, 0.000000000E+00, 1.326158500E+06, 0.000000000E+00, 8.433417969E+02
        49, 2.245090902E-01,-3.548627496E-01, 0.000000000E+00, 1.334515875E+06, 0.000000000E+00, 8.414920654E+02
        50,-2.258119583E-01,-3.542196751E-01, 0.000000000E+00, 1.327585500E+06, 0.000000000E+00, 8.435409546E+02
        51,-5.141444504E-02,-3.509998918E-01, 0.000000000E+00, 1.363707500E+06, 8.569318390E+01, 8.431219482E+02
        52,-4.113155603E-02,-3.509998918E-01, 0.000000000E+00, 1.369289000E+06, 7.134152985E+01, 8.435484619E+02
        53,-3.084866703E-02,-3.509999216E-01, 0.000000000E+00, 1.373499625E+06, 5.854219818E+01, 8.438540039E+02
        54,-2.056577802E-02,-3.509999514E-01, 0.000000000E+00, 1.376314625E+06, 4.763599014E+01, 8.440315552E+02
        55,-1.028288901E-02,-3.509999812E-01, 0.000000000E+00, 1.377943625E+06, 3.939944458E+01, 8.441115723E+02
        56, 0.000000000E+00,-3.510000110E-01, 0.000000000E+00, 1.378628625E+06, 3.407336426E+01, 8.441219482E+02
        57, 9.234504774E-03,-3.510000110E-01, 0.000000000E+00, 1.378709500E+06, 3.290792847E+01, 8.440908813E+02
        58, 1.846825890E-02,-3.510000110E-01, 0.000000000E+00, 1.378311750E+06, 3.620024872E+01, 8.440230713E+02
        59, 2.770195715E-02,-3.510000110E-01, 0.000000000E+00, 1.377339250E+06, 4.270253754E+01, 8.439136963E+02
        60, 3.693565354E-02,-3.510000110E-01, 0.000000000E+00, 1.375702125E+06, 5.142811966E+01, 8.437556152E+02
        61, 4.616935179E-02,-3.510000110E-01, 0.000000000E+00, 1.373310875E+06, 6.163823700E+01, 8.435319214E+02
        62, 5.540305004E-02,-3.510000110E-01, 0.000000000E+00, 1.370041250E+06, 7.368363190E+01, 8.432129517E+02
        63, 6.463674456E-02,-3.510000110E-01, 0.000000000E+00, 1.365686500E+06, 8.771348572E+01, 8.427723389E+02
        64, 7.387044281E-02,-3.510000110E-01, 0.000000000E+00, 1.360308625E+06, 1.033690948E+02, 8.421894531E+02
